Hospital,Latitude,Longitude
"Amisola Maternity Hospital, Tondo",14.6328532,120.9781047
"Chinese General Hospital and Medical Center, Santa Cruz",14.6263060,120.9877800
"De Ocampo Memorial Medical Center, Santa Mesa",14.5998315,120.9996274
"Dr. Jose Fabella Memorial Hospital, Santa Cruz",14.6061618,120.9842536
Esperanza Health Center – Santa Mesa,14.5514471,121.0221625
"F. Lanuza Health Center and Lying–in Clinic, Santa Cruz",14.576912,120.9959326
"GAT Andres Bonifacio Memorial Medical Center, Tondo",14.60110225,120.9648907
"Jose R. Reyes Memorial Medical Center – San Lazaro Compound, Santa Cruz",14.6141758,120.9819067
"Justice Jose Abad Santos General Hospital, Manila",14.6329053,120.9721281
"Manila Doctors Hospital, Ermita",14.58219355,120.9828998
"Maria Clara Health Center and Lying–in Clinic, Sampaloc",14.6180782,120.9907687
"Mary Chiles General Hospital, Sampaloc",14.603111,120.9899719
"Mary Johnston Hospital, Tondo",14.6090353,120.9662305
"Metropolitan Medical Center, Tondo",14.609395,120.9784765
"New Manila District Hospital, Santa Cruz",14.6127808,121.0289056
"Nephrology Center of Manila, Malate",14.4853251,121.0296577
"Ospital ng Maynila Medical Center, Malate",14.56372225,120.9861729
"Ospital ng Sampaloc, Sampaloc",14.60787095,120.9967005
"Ospital ng Tondo, Tondo",14.6259836,120.9783156
"Our Lady of Lourdes Hospital, Santa Mesa",14.59501765,121.0224442
"Perpetual Help Hospital, Sampaloc",14.61338415,120.9883535
"Perpetual Succor Hospital, Sampaloc",14.6080998,120.9923296
"Philippine General Hospital, Ermita",14.5780333,120.9855392
"Presidential Security Group Station Hospital, Manila",14.59370865,121.0006864
"Saint Jude Hospital and Medical Center, Sampaloc",14.6157999,120.9893585
"San Lazaro Hospital, Santa Cruz",14.614117,120.9805815
"Santa Ana Hospital, Santa Ana",14.58358825,121.0164431
"Seamen's Hospital, Intramuros",14.58746275,120.977626
"Tondo Health Center, Tondo",14.6189095,120.9660386
"Tondo Medical Center, Tondo",14.6351162,120.9631169
"Unciano General Hospital, Manila",14.57399895,121.0441972
"United Doctor's Medical Center,  Manila",14.6171848,121.0018877
"University of Santo Tomas Hospital, Sampaloc",14.6112963,120.9901949
